tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Copa do Brasil,Flamengo,8.0,2.0,Maringa,9.0,6.0,107.0,69.0,27.0,10.0,01:30:00,2023-04-27,6.0,-6.0,WON,LOST,15.0
Copa do Brasil,Corinthians,2.0,0.0,Clube Do Remo,6.0,5.0,188.0,115.0,14.0,9.0,01:30:00,2023-04-27,2.0,-2.0,WON,LOST,11.0
Copa do Brasil,Tombense,1.0,1.0,Palmeiras,4.0,10.0,68.0,65.0,9.0,18.0,00:00:00,2023-04-27,0.0,0.0,DRAW,DRAW,14.0
Copa do Brasil,Brasil de Pelotas,1.0,1.0,Atletico Mineiro,0.0,11.0,67.0,91.0,4.0,19.0,23:30:00,2023-04-26,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,Aguia de Maraba,0.0,2.0,Fortaleza FC,2.0,5.0,104.0,130.0,8.0,13.0,23:30:00,2023-04-26,-2.0,2.0,LOST,WON,7.0
Copa do Brasil,Santos,1.0,0.0,Botafogo SP,3.0,7.0,107.0,142.0,9.0,18.0,23:00:00,2023-04-26,1.0,-1.0,WON,LOST,10.0
Copa do Brasil,Sport Recife,2.0,0.0,Coritiba,4.0,10.0,72.0,109.0,8.0,9.0,23:00:00,2023-04-26,2.0,-2.0,WON,LOST,14.0
Copa do Brasil,Athletico Paranaense,2.0,1.0,CRB,10.0,3.0,184.0,104.0,35.0,11.0,01:30:00,2023-04-26,1.0,-1.0,WON,LOST,13.0
Copa do Brasil,Ituano,0.0,1.0,Sao Paulo,4.0,5.0,94.0,112.0,3.0,16.0,01:30:00,2023-04-26,-1.0,1.0,LOST,WON,9.0
Copa do Brasil,Paysandu,0.0,3.0,Fluminense,6.0,2.0,75.0,94.0,11.0,16.0,00:00:00,2023-04-26,-3.0,3.0,LOST,WON,8.0
Copa do Brasil,Cruzeiro,2.0,0.0,Nautico Capibaribe,16.0,0.0,118.0,81.0,16.0,7.0,23:00:00,2023-04-25,2.0,-2.0,WON,LOST,16.0
Copa do Brasil,ABC,0.0,2.0,Gremio,5.0,6.0,90.0,80.0,5.0,10.0,01:30:00,2023-04-14,-2.0,2.0,LOST,WON,11.0
Copa do Brasil,Maringa,2.0,0.0,Flamengo,2.0,7.0,121.0,126.0,14.0,17.0,00:00:00,2023-04-14,2.0,-2.0,WON,LOST,9.0
Copa do Brasil,Nautico Capibaribe,1.0,0.0,Cruzeiro,3.0,7.0,92.0,139.0,11.0,13.0,23:00:00,2023-04-13,1.0,-1.0,WON,LOST,10.0
Copa do Brasil,Atletico Mineiro,2.0,1.0,Brasil de Pelotas,12.0,1.0,137.0,87.0,24.0,8.0,01:30:00,2023-04-13,1.0,-1.0,WON,LOST,13.0
Copa do Brasil,Clube Do Remo,2.0,0.0,Corinthians,7.0,5.0,83.0,144.0,11.0,12.0,01:30:00,2023-04-13,2.0,-2.0,WON,LOST,12.0
Copa do Brasil,Ypiranga RS,0.0,2.0,Botafogo RJ,5.0,7.0,128.0,104.0,10.0,12.0,01:30:00,2023-04-13,-2.0,2.0,LOST,WON,12.0
Copa do Brasil,Palmeiras,4.0,2.0,Tombense,8.0,1.0,154.0,88.0,28.0,11.0,00:00:00,2023-04-13,2.0,-2.0,WON,LOST,9.0
Copa do Brasil,Fluminense,3.0,0.0,Paysandu,13.0,0.0,118.0,53.0,23.0,4.0,23:30:00,2023-04-12,3.0,-3.0,WON,LOST,13.0
Copa do Brasil,CRB,1.0,0.0,Athletico Paranaense,5.0,0.0,74.0,74.0,15.0,19.0,23:30:00,2023-04-12,1.0,-1.0,WON,LOST,5.0
Copa do Brasil,Coritiba,3.0,3.0,Sport Recife,8.0,6.0,112.0,91.0,16.0,12.0,23:00:00,2023-04-12,0.0,0.0,DRAW,DRAW,14.0
Copa do Brasil,Nova Iguacu,1.0,2.0,America MG,0.0,10.0,90.0,103.0,7.0,27.0,20:30:00,2023-04-12,-1.0,1.0,LOST,WON,10.0
Copa do Brasil,Sao Paulo,0.0,0.0,Ituano,11.0,7.0,136.0,85.0,20.0,11.0,01:30:00,2023-04-12,0.0,0.0,DRAW,DRAW,18.0
Copa do Brasil,Fortaleza FC,6.0,1.0,Aguia de Maraba,4.0,3.0,75.0,94.0,26.0,6.0,01:30:00,2023-04-12,5.0,-5.0,WON,LOST,7.0
Copa do Brasil,Internacional,2.0,1.0,CSA,3.0,7.0,123.0,92.0,22.0,10.0,00:00:00,2023-04-12,1.0,-1.0,WON,LOST,10.0
Copa do Brasil,Botafogo SP,0.0,2.0,Santos,6.0,2.0,151.0,94.0,15.0,5.0,23:00:00,2023-04-11,-2.0,2.0,LOST,WON,8.0
Copa do Brasil,Volta Redonda,1.0,2.0,EC Bahia,3.0,6.0,94.0,76.0,18.0,12.0,20:30:00,2023-04-11,-1.0,1.0,LOST,WON,9.0
Copa do Brasil,Vasco Da Gama RJ,0.0,0.0,ABC,6.0,2.0,133.0,82.0,9.0,6.0,00:30:00,2023-03-17,0.0,0.0,DRAW,DRAW,8.0
Copa do Brasil,Gremio,3.0,0.0,Ferroviario,10.0,3.0,98.0,81.0,30.0,11.0,23:00:00,2023-03-16,3.0,-3.0,WON,LOST,13.0
